dateTime,outTemp,appTemp,outHumidity,dewpoint,heatindex,humidex,altimeter,barometer,pressure,dayRain,monthRain,yearRain,rainRate,windDir,windGust,windGustDir,windSpeed,windSpeed10,windchill,cloudbase,dayET,forecastIcon,forecastRule,sunrise,sunset
1659419714,16.5555555555556,17.4499745835011,89,14.7335571690351,16.5905555555556,20.3602609125071,1022.4910202918,1018.49010264566,937.787329519388,0.019999999878,0.19999999878,33.759999794064,0,328,3.218688,333,3.218688,3.218688,16.5555555555556,946.035691921429,0,6,44,1659412680,1659465900
1659423197,17.9444444444444,17.7967636897387,80,14.4406227151875,17.8833333333333,21.5714428490149,1022.13748752606,1018.45623876407,937.457718824369,0.019999999878,0.19999999878,33.759999794064,0,291,9.656064,285,8.04672,6.437376,17.9444444444444,1151.08308422442,0,6,44,1659412680,1659465900
1659426680,20.0555555555556,21.6933129126915,73,15.0608725300928,20.0227777777778,24.0624556385046,1021.88102914868,1018.01600830342,937.21861485902,0.019999999878,0.19999999878,33.759999794064,0,,0,,0,3.218688,20.0555555555556,1332.84844168169,0,8,1,1659412680,1659465900
1659430164,22.2222222222222,23.9064964751477,68,16.0264558138709,22.2755555555556,26.8485362175825,1021.20346899781,1017.13554738213,936.586908737474,0.019999999878,0.19999999878,33.759999794064,0,117,1.609344,120,1.609344,3.218688,22.2222222222222,1479.2841637588,0,6,44,1659412680,1659465900
1659433648,23.4444444444444,25.2370185245547,61,15.4831897552857,23.4372222222222,27.7179884879498,1020.94036566982,1017.20327514531,936.341612497227,0.019999999878,0.19999999878,33.759999794064,0,,0,,0,3.218688,23.4444444444444,1694.53195995839,0,6,51,1659412680,1659465900
1659437136,26.0555555555556,27.3299603253474,56,16.5825305005678,26.1788888888889,31.0546279900398,1020.23644820185,1016.28895034243,935.685341009165,0.019999999878,0.19999999878,33.759999794064,0,173,6.437376,160,4.828032,3.218688,26.0555555555556,1878.84654484803,0,6,51,1659412680,1659465900
1659440620,27.4444444444444,29.0298537694836,49,15.7660431369252,27.7813983035556,31.9002724053203,1019.90848534495,1015.67940047384,935.379579007667,0.019999999878,0.19999999878,33.759999794064,0,173,3.218688,173,1.609344,3.218688,27.4444444444444,2147.72534926084,0,6,51,1659412680,1659465900
1659444104,28.0555555555556,29.5418135351904,49,16.3244498114069,28.4217950055555,32.8801373216927,1019.54358334683,1015.44235330272,935.039379942136,0.019999999878,0.19999999878,33.759999794064,0,211,3.218688,204,3.218688,3.218688,28.0555555555556,2154.15105820366,0,3,189,1659412680,1659465900
1659447588,29.1111111111111,30.4150112684482,40,14.1143927657125,28.7196691995556,32.5437586777718,1019.27787765616,1015.10371448684,934.791662874192,0.019999999878,0.19999999878,33.759999794064,0,,1.609344,211,0,3.218688,29.1111111111111,2552.29355696847,0,3,189,1659412680,1659465900
1659451073,28.2222222222222,29.7030172206484,46,15.4862866619162,28.3374825848889,32.4977458912167,1018.97511902137,1014.90053119731,934.509402449777,0.019999999878,0.19999999878,33.759999794064,0,242,4.828032,195,1.609344,1.609344,28.2222222222222,2276.65960489568,0,6,45,1659412680,1659465900
1659454617,27.1666666666667,28.4962633536877,45,14.189071606152,27.2657782584445,30.643476476963,1018.75919508201,1014.73121178937,934.308098282453,0.019999999878,0.19999999878,33.759999794064,0,,0,,0,0,27.1666666666667,2306.12265793096,0,6,45,1659412680,1659465900
